"FileName","PlotNum","X","X1","X1.2","X1.4","X1.6","X1.8","X2","X2.2","X2.4","X2.6","X2.8","X3","X3.2","X3.4","X3.6","X3.8","X4","X4.2","X4.4","X4.6","X4.8","OptimalF.score","OptimalWindowSize"
"MJG1501_CHM01_pitfree0505.tif","MJG1501",1,0.557553957,0.668304668,0.753623188,0.749226006,0.728434505,0.725490196,0.702341137,0.675767918,0.638596491,0.573529412,0.535849057,0.507692308,0.478431373,0.46031746,0.443548387,0.418032787,0.391666667,0.378151261,0.35042735,0.31441048,0.753623188,1.4
"MJG1502_CHM01_pitfree0505.tif","MJG1502",2,0.551984877,0.758241758,0.8125,0.812080537,0.782918149,0.746268657,0.697674419,0.666666667,0.634146341,0.617283951,0.6,0.588235294,0.560344828,0.528634361,0.502242152,0.481818182,0.460829493,0.453703704,0.431924883,0.40952381,0.8125,1.4
"MJG1503_CHM01_pitfree0505.tif","MJG1503",3,0.607773852,0.745535714,0.809651475,0.832844575,0.80625,0.796116505,0.760942761,0.735395189,0.717770035,0.681003584,0.63197026,0.595419847,0.53968254,0.473029046,0.434042553,0.420600858,0.3930131,0.357142857,0.342342342,0.319634703,0.832844575,1.6
"MJG1504_CHM01_pitfree0505.tif","MJG1504",4,0.598967298,0.702222222,0.743589744,0.741758242,0.713043478,0.684684685,0.656441718,0.63125,0.596153846,0.573289902,0.535117057,0.489655172,0.457746479,0.424460432,0.383763838,0.371747212,0.347169811,0.302325581,0.295719844,0.2890625,0.743589744,1.4
"MJG1505_CHM01_pitfree0505.tif","MJG1505",5,0.618487395,0.744493392,0.766497462,0.764227642,0.74301676,0.713043478,0.688622754,0.648148148,0.615873016,0.584415584,0.570491803,0.561056106,0.517006803,0.486111111,0.448398577,0.397058824,0.354716981,0.323076923,0.303501946,0.290196078,0.766497462,1.4
"MJG1506_CHM01_pitfree0505.tif","MJG1506",6,0.627599244,0.756756757,0.831955923,0.84457478,0.840125392,0.803921569,0.763513514,0.718309859,0.695340502,0.666666667,0.621212121,0.583657588,0.544,0.508196721,0.464135021,0.43776824,0.410480349,0.375,0.345454545,0.330275229,0.84457478,1.6
"MJG1507_CHM01_pitfree0505.tif","MJG1507",7,0.524534687,0.668224299,0.751412429,0.76969697,0.770226537,0.766666667,0.756756757,0.731034483,0.690391459,0.683453237,0.666666667,0.621212121,0.57254902,0.549800797,0.514285714,0.502057613,0.457627119,0.431034483,0.396475771,0.367713004,0.770226537,1.8
"MJG1508_CHM01_pitfree0505.tif","MJG1508",8,0.544401544,0.692913386,0.770642202,0.810810811,0.795698925,0.792592593,0.770992366,0.772200772,0.748031496,0.696721311,0.641025641,0.611353712,0.567567568,0.554545455,0.520930233,0.45631068,0.441176471,0.417910448,0.369230769,0.34375,0.810810811,1.6
"MJG1509_CHM01_pitfree0505.tif","MJG1509",9,0.59223301,0.724576271,0.731829574,0.706521739,0.708791209,0.660968661,0.629411765,0.608955224,0.596385542,0.534591195,0.506410256,0.491909385,0.472131148,0.446666667,0.425675676,0.404109589,0.388888889,0.354609929,0.348754448,0.330935252,0.731829574,1.4
"MJG1510_CHM01_pitfree0505.tif","MJG1510",10,0.592125984,0.731914894,0.7960199,0.801075269,0.786516854,0.755813953,0.728358209,0.695384615,0.662460568,0.627831715,0.609836066,0.557823129,0.532871972,0.496453901,0.446886447,0.417910448,0.381679389,0.356589147,0.337254902,0.304,0.801075269,1.6
