"Model","ME","MAE","MPE","MAPE","RMSE","RMSPE","CE"
"exp",-0.000463616357708965,1.64060398484066,-1.89807307133181,10.8573316698562,2.06062746278365,14.7021167964833,0.815736092524529
"lundqvist",-0.000646422667541672,1.63919639689277,-1.89304165197153,10.8530171574149,2.05732461974744,14.6823488594542,0.816326307919142
"logistic",-0.00218488998413958,1.6417484024596,-1.94516763923779,10.8796978311203,2.060868010812,14.7531894931332,0.815693069797184
"richards",-0.00306827958323956,1.64702400423284,-2.003970964062,10.9321361106745,2.06701885069728,14.8705987435183,0.814591267897515
"weibull",-0.00406917064350685,1.64637646238324,-2.01915875945158,10.9321077683637,2.06601589769058,14.8771437918317,0.814771151240802
