Title,Status,Tags,"Sign date","Sign year","Counterpart (original)","Counterpart ISO","Counterpart SPA","Counterpart ENG","Region SPA","Region ENG"
"Convención de Amistad, Auxilio y Comercio entre las Exmas. Juntas Gubernativas de Buenos Aires y del Paraguay",,"Comercio
Conflictos armados
Cooperación
Defensa y Seguridad
Impuestos
Productos básicos",12/10/1811,1811,Paraguay,PRY,Paraguay,Paraguay,América,America
"Tratado de Pacificación entre la Exma. Junta Ejecutiva de Buenos-Aires y el Exmo.Sr. Virrey D.Francisco Xavier Elio",,"Conflictos armados
Pacificación
Soberanía
Tratados",20/10/1811,1811,España,ESP,España,Spain,Europa,Europe
"Tratado de Armisticio entre el Gobierno Provisional de las Provincias Unidas del Río de la Plata y el Príncipe Regente del Reino de Portugal.",,"Conflictos armados
Pacificación
Provincias argentinas
Tratados",26/05/1812,1812,Portugal,PRT,Portugal,Portugal,Europa,Europe
"Contrata celebrada entre la Junta Gubernativa de las Provincias Unidas del Río de la Plata y la del Reino de Chile para el Intercambio de Azogue por Pólvora",Extinguido,"Comercio
Defensa y Seguridad
Minería
Provincias argentinas",23/10/1812,1812,Chile,CHL,Chile,Chile,América,America
"Capitulación de la Vanguardia del Ejército del Perú entre la República Argentina y España.",,"Conflictos armados
Fuerzas Armadas
Soberanía",20/02/1813,1813,España,ESP,España,Spain,Europa,Europe
"Armisticio entre el General en Jefe del Ejército auxiliar del Perú Manuel Belgrano y el General Goyeneche",,"Conflictos armados
Pacificación
Soberanía",10/03/1813,1813,España,ESP,España,Spain,Europa,Europe
"Capitulación de la Plaza de Montevideo entre la República Argentina y España.",,"Conflictos armados
Soberanía",20/06/1814,1814,España,ESP,España,Spain,Europa,Europe
"Capitulación de la Guarnición de Tarija entre la República Argentina y España.",,"Conflictos armados
Soberanía",15/04/1817,1817,España,ESP,España,Spain,Europa,Europe
"Tratado particular entre el Estado de Chile y las Provincias Unidas del Río de la Plata para liberar al Perú",Extinguido,"Defensa y Seguridad
Provincias argentinas
Soberanía",05/02/1819,1819,Chile,CHL,Chile,Chile,América,America
"Convenio sobre sostén de inválidos del ejército de los Andes inutilizados en funciones de guerra","No está en vigor","Defensa
Derecho Internacional Humanitario",14/04/1819,1819,Chile,CHL,Chile,Chile,América,America
"Armisticio entre el General San Martín y el Virrey Pezuela",,"Conflictos armados
Pacificación
Soberanía",26/09/1820,1820,España,ESP,España,Spain,Europa,Europe
"Armisticio entre el General San Martín y De La Serna",,Pacificación,23/05/1821,1821,España,ESP,España,Spain,Europa,Europe
"Armisticio firmado por los Jefes de Salta y del Ejército Realista",,"Conflictos armados
Pacificación
Soberanía",14/07/1821,1821,España,ESP,España,Spain,Europa,Europe
"Capitulación de la Plaza del Callao, acordado entre el Protector del Perú Gral. San Martín y el Gobernador de la Plaza del Callao, Mscal. de Campo José de la Mar",,"Conflictos armados
Soberanía",19/09/1821,1821,España,ESP,España,Spain,Europa,Europe
"Convenio para el suministro por la Pcia. de San Juan de 100 hombres armados para el Ejército del Gral. San Martín entre el gobernador de Cuyo y el Protector del Perú y su gobierno independiente.","No está en vigor","Fuerzas Armadas
Pacificación",10/07/1822,1822,Perú,PER,Perú,Peru,América,America
"Convención de paz y buena armonía concluida entre los Gobiernos de Entre Ríos y Montevideo, y antecedentes de la misma",,"Cooperación
Defensa
Soberanía
Territorio",11/12/1822,1822,Brasil,BRA,Brasil,Brazil,América,America
"Tratado de Amistad y Alianza entre el Estado de Buenos Aires y la República de Colombia",Vigente,"Amistad
Relaciones Internacionales",08/03/1823,1823,Colombia,COL,Colombia,Colombia,América,America
"Tratado de alianza ofensiva y defensiva entre el Gobierno de la Provincia de Santa Fe y el Cabildo Representante de Montevideo para rechazar a los brasileños que se habían apoderado de territorio oriental",Vigente,"Cooperación
Defensa
Fronteras
Fuerzas Armadas
Provincias argentinas
Seguridad",14/03/1823,1823,Uruguay,URY,Uruguay,Uruguay,América,America
"Convención preliminar de Paz entre el Gobierno de S.M.C. y el Estado de Buenos Aires",Vigente,"Conflictos armados
Pacificación
Soberanía",04/07/1823,1823,España,ESP,España,Spain,Europa,Europe
"Intrumento Unilateral  Británico para el Establecimiento de Relaciones Amistosas con el Gobierno de Buenos Aires y para la Designación de un Cónsul General",,"Reconocimiento de Estados",15/12/1823,1823,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Acuerdo de Amistad, Comercio y Navegación entre las Provincias Unidas del Río de la Plata y su Majestad Británica.",Vigente,"Amistad
Comercio
Provincias argentinas
Transporte por agua
Tratados",02/02/1825,1825,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Nota del Gobierno de Australia aceptando el Tratado de Amistad, Comercio y Navegación firmado por las Provincias Unidas del Río de La Plata y Gran Bretaña",Vigente,"Amistad
Comercio
Provincias argentinas",02/02/1825,1825,Australia,AUS,Australia,Australia,"Asia y Oceanía","Asia and Oceania"
"Tratado de Amistad, Comercio y Navegación entre el Reino Unido y las Provincias Unidas del Río de la Plata",Vigente,"Amistad
Comercio
Provincias argentinas
Transporte por agua",02/02/1825,1825,Canadá,CAN,Canadá,Canada,América,America
"Tratado de Amistad, Comercio y Navegación entre el Reino Unido y las Provincias Unidas del Río de la Plata  (y notas del 28/08/1970 y 1/04/1971)",Vigente,"Amistad
Comercio
Provincias argentinas
Transporte por agua",02/02/1825,1825,Sudáfrica,ZAF,Sudáfrica,"South Africa","África y Medio Oriente","Africa and Middle East"
"Tratado de Amistad, Comercio y Navegación entre la República Argentina y el Reino Unido de Gran Bretaña e Irlanda del Norte.",Extinguido,"Amistad
Comercio",02/02/1825,1825,Kenia,KEN,Kenya,Kenya,"África y Medio Oriente","Africa and Middle East"
"Tratado de amistad, alianza, comercio y navegación entre la República de las Provincias Unidas del Río de la Plata y Chile","No está en vigor","Amistad
Buques
Colonialismo
Comercio
Defensa
Provincias argentinas
Soberanía
Transporte por agua",20/11/1826,1826,Chile,CHL,Chile,Chile,América,America
"Memorándum de las Conferencias de los días 1°, 12 y 14 de abril de 1827 entre representantes de la República Argentina, el Imperio de Brasil y su Majestad Británica.",,"Soberanía
Territorio",14/04/1827,1827,Brasil,BRA,Brasil,Brazil,América,America
"Memorándum de las conferencias mantenidas entre el Ministro de Negocios Extranjeros argentino y el Ministro Plenipotenciario de Gran Bretaña sobre bases para una paz argentino-brasileña",,"Conferencias
Pacificación",14/04/1827,1827,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Acuerdo sobre reconocimiento de la independencia entre la República de las Provincias Unidas del Río de la Plata y el Emperador del Brasil",,"Defensa
Provincias argentinas
Soberanía
Territorio",24/05/1827,1827,Brasil,BRA,Brasil,Brazil,América,America
"Artículo adicional acerca del uso de los ríos de la Plata y sus afluentes de acuerdo con el Tratado de Paz de la misma fecha (entre las Provincias Unidas del Río de la Plata y el emperador del Brasil)",,"Libre circulación
Provincias argentinas
Ríos Internacionales
Transporte por agua",27/08/1828,1828,Brasil,BRA,Brasil,Brazil,América,America
"Convención Preliminar de Paz entre el Gobierno de las Provincias Unidas del Río de la Plata y Su Majestad el Emperador del Brasil",Vigente,"Cooperación
Defensa
Fronteras
Fuerzas Armadas
Provincias argentinas
Soberanía
Territorio",27/08/1828,1828,Brasil,BRA,Brasil,Brazil,América,America
"Protocolos correspondientes a las Conferencias preliminares a la Convención preliminar de Paz",,,28/08/1828,1828,Brasil,BRA,Brasil,Brazil,América,America
"Conferencia Gelly-Venancourt sobre Apresamiento de buques",,"Buques
Conflictos armados",26/05/1829,1829,Francia,FRA,Francia,France,Europa,Europe
"Artículos adicionales a la Convención del 26.5.1829 -Conferencia Gelly-Venancourt",,"Buques
Conflictos armados",29/05/1829,1829,Francia,FRA,Francia,France,Europa,Europe
"Convenio sobre reclamos británicos - celebrado entre el Gobierno de Buenos Aires y el Encargado de Negocios de S.M.B. para arreglo de ciertos reclamos de los súbditos de S.M.B. contra el mencionado Gobierno de Buenos Aires según el Memorándum presentado por el dicho Encargado de Negocios que va anexo",,"Pacificación
Tratados",19/07/1830,1830,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Convención de paz, amistad y buena inteligencia, acordada entre los gobiernos de Chile y Córdoba","No está en vigor","Amistad
Defensa
Derecho Internacional Público
Fuerzas Armadas
Pacificación",31/07/1830,1830,Chile,CHL,Chile,Chile,América,America
"Acta de la Reunión para examinar y aceptar la Constitución de la República Oriental del Uruguay",,"Relaciones Internacionales",26/05/1833,1833,Brasil,BRA,Brasil,Brazil,América,America
"Convención Preliminar de amistad, comercio y navegación entre la República Argentina y S.M.el Rey de los Franceses - Declaración  del 15/5/1834 .",,"Amistad
Buques
Comercio
Relaciones Consulares
Servicio militar
Transporte por agua",15/05/1834,1834,Francia,FRA,Francia,France,Europa,Europe
"Nota relativa a la Convención preliminar de Amistad, Comercio y Navegación",,"Amistad
Comercio
Malvinas
Transporte por agua",03/06/1834,1834,Francia,FRA,Francia,France,Europa,Europe
"Protocolo de la conferencia sobre Tráfico de Esclavos",,Tratados,14/11/1835,1835,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Protocolo sobre Reconocimiento de la Independencia de la Confederación Argentina por parte del Rey de Cerdeña",Vigente,"Reconocimiento de Estados",12/05/1837,1837,Italia,ITA,Italia,Italy,Europa,Europe
"Convención de alianza ofensiva y defensiva contra D. Juan Manuel de Rosas y su gobierno entre el Gobierno de la R.O.U. y la Provincia de Corrientes",,"Cooperación
Defensa
Fuerzas Armadas
Pacificación
Provincias argentinas
Seguridad",31/12/1838,1838,Uruguay,URY,Uruguay,Uruguay,América,America
"Tratado entre el Exmo. Gobierno de Bs As encargado de las Relaciones Exteriores de la Confederación Argentina y el de Su Majestad la Reina del Reino Unido de Gran Bretaña e Irlanda para la absoluta abolición del Tráfico de Esclavos.",Extinguido,"Derechos Humanos
Tratados",24/05/1839,1839,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Artículos adicionales a la Convención de alianza ofensiva-defensiva contra Rosas del 31.12.1838 entre el Gobierno del Uruguay y la Provincia de Corrientes",,"Amistad
Cooperación
Defensa
Fuerzas Armadas
Provincias argentinas
Seguridad",27/08/1840,1840,Uruguay,URY,Uruguay,Uruguay,América,America
"Tratado Arana-Mackau sobre bloqueo de indemnizaciones",,Tratados,29/10/1840,1840,Francia,FRA,Francia,France,Europa,Europe
"Protocolo sobre reconocimiento de la Soberanía e Independencia de la Confederación Argentina",Vigente,Soberanía,20/01/1841,1841,Dinamarca,DNK,Dinamarca,Denmark,Europa,Europe
"Tratado de Amistad, Comercio y Navegación entre el Gobierno de la Provincia de Corrientes y la República del Paraguay",,"Amistad
Comercio
Integración física
Productos básicos
Provincias argentinas
Transporte por agua",31/07/1841,1841,Paraguay,PRY,Paraguay,Paraguay,América,America
"Tratado provisorio de límites celebrado entre la Provincia de Corrientes y la República del Paraguay",,"Fronteras
Límites
Provincias argentinas
Territorio",31/07/1841,1841,Paraguay,PRY,Paraguay,Paraguay,América,America
"Tratado de Alianza Ofensiva y Defensiva con el Brasil",,"Amistad
Cooperación
Defensa
Fronteras
Fuerzas Armadas
Seguridad
Soberanía
Territorio",24/03/1843,1843,Brasil,BRA,Brasil,Brazil,América,America
"Protocolo adicional al Tratado de Alianza Ofensiva y Defensiva del 24.3.1843 (con el Brasil)",,"Cooperación
Defensa
Seguridad
Soberanía",27/03/1843,1843,Brasil,BRA,Brasil,Brazil,América,America
"Protocolo de Reconocimiento de la Soberanía e Independencia de la Confederación Argentina por la Ciudad Libre y Hanseática de Bremen.",Vigente,"Reconocimiento de Estados
Soberanía",11/04/1843,1843,"Alemania, República Federal de",DEU,Alemania,Germany,Europa,Europe
"Protocolo de Reconocimiento de la Soberanía e Independencia de la Confederación Argentina por la Ciudad Libre y Hanseática de Hamburgo",Vigente,"Reconocimiento de Estados
Soberanía",01/03/1844,1844,"Alemania, República Federal de",DEU,Alemania,Germany,Europa,Europe
"Reconocimiento de la Confederación Argentina por S.M. el Rey de Prusia",,"Reconocimiento de Estados
Soberanía",28/09/1844,1844,"Alemania, República Federal de",DEU,Alemania,Germany,Europa,Europe
"Convenio entre la Provincia de Corrientes y la República del Paraguay para poner término a la incomunicación existente entre ambos territorios",,"Buques
Comunicaciones
Conflictos armados
Defensa y Seguridad
Provincias argentinas
Transporte por agua
Visitas",07/12/1844,1844,Paraguay,PRY,Paraguay,Paraguay,América,America
"NOTA DEL DR. ARANA AL REPRESENTANTE DE LA CONFEDERACION ARGENTINA ANTE EL REINO UNIDO, RELATIVO AL RECONOCIMIENTO DEL GOBIERNO ARGENTINO POR PARTE DE PRUSIA.",,"Reconocimiento de Estados
Soberanía",19/01/1845,1845,"Alemania, República Federal de",DEU,Alemania,Germany,Europa,Europe
"Tratado de alianza ofensiva y defensiva contra Rosas entre la Provincia de Corrientes y la República del Paraguay",,"Conflictos armados
Cooperación
Defensa
Fuerzas Armadas
Pacificación
Provincias argentinas
Soberanía
Territorio",11/11/1845,1845,Paraguay,PRY,Paraguay,Paraguay,América,America
"Protocolo sobre Reconocimiento de la Soberanía e Independencia de la Confederación Argentina de Su Majestad el Rey de Suecia y Noruega",Vigente,Soberanía,03/01/1846,1846,Noruega,NOR,Noruega,Norway,Europa,Europe
"Protocolo sobre Reconocimiento de la Soberanía e Independencia de la Confederación Argentina por parte del Reino de Suecia y Noruega",Vigente,Soberanía,03/01/1846,1846,Suecia,SWE,Suecia,Sweden,Europa,Europe
"Convención para restablecer las perfectas relaciones de Amistad entre la Confederación Argentina y Su Majestad Británica.",Vigente,"Amistad
Relaciones diplomáticas",24/11/1849,1849,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Convención de Paz y Amistad entre la Confederación Argentina y la Francia",,"Amistad
Tratados",31/08/1850,1850,Francia,FRA,Francia,France,Europa,Europe
"Capitulación del Gral. Manuel Oribe y las fuerzas a su mando (República Oriental del Uruguay)",,"Defensa
Fuerzas Armadas
Soberanía
Sociedad Civil",08/10/1851,1851,Uruguay,URY,Uruguay,Uruguay,América,America
"Artículos adicionales al Convenio del 21 de noviembre de 1851",,"Cooperación
Defensa
Fuerzas Armadas
Seguridad",30/11/1851,1851,Brasil,BRA,Brasil,Brazil,América,America
"Convención arreglando el derecho de asilo de los refugiados políticos y la extradición de los criminales entre la Confederación Argentina y la República de Bolivia",Extinguido,"Asilo y refugio
Asistencia judicial
Cooperación
Extradición
Refugiados",01/05/1852,1852,"Bolivia, Estado Plurinacional de",BOL,Bolivia,Bolivia,América,America
"Tratado de Navegación y Límites entre la Confederación Argentina y la República del Paraguay",,"Comercio
Exenciones
Fronteras
Libre circulación
Límites
Territorio
Transporte por agua",15/07/1852,1852,Paraguay,PRY,Paraguay,Paraguay,América,America
"Protocolo sobre redacción del título del Convenio sobre Amistad, Comercio y Navegación entre la Confederación Argentina y su Majestad Fidelísima la Reina de Portugal",,"Amistad
Catástrofes
Comercio
Transporte por agua",09/08/1852,1852,Portugal,PRT,Portugal,Portugal,Europa,Europe
"Tratado de Amistad, Comercio y Navegación entre la Confederación Argentina y su Majestad Fidelísima la Reina de Portugal",Extinguido,"Amistad
Comercio
Transporte por agua",09/08/1852,1852,Portugal,PRT,Portugal,Portugal,Europa,Europe
"Acuerdo postal entre las Plazas de Gualeguaychú y Montevideo.",,"Servicios postales
Tasas",09/12/1852,1852,Uruguay,URY,Uruguay,Uruguay,América,America
"Tratado de Libre Navegación de los Ríos Paraná y Uruguay entre Francia y la Confederación Argentina",Vigente,"Ríos Internacionales
Transporte por agua",10/07/1853,1853,Francia,FRA,Francia,France,Europa,Europe
"Tratado para la Libre Navegación de los Ríos Paraná y Uruguay entre la Confederación Argentina y los Estados Unidos",Vigente,"Transporte por agua",10/07/1853,1853,"Estados Unidos de América",USA,"Estados Unidos","United States",América,America
"Tratado para la Libre Navegación de los Ríos Paraná y Uruguay entre la Confederación Argentina y S.M. Britanica",Vigente,"Transporte por agua",10/07/1853,1853,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Tratado de Amistad, Comercio y Navegación entre la Confederación Argentina y los Estados Unidos",Vigente,"Amistad
Comercio
Servicio militar
Transporte por agua",27/07/1853,1853,"Estados Unidos de América",USA,"Estados Unidos","United States",América,America
"Arreglo Argentino-Francés para el pago de la Deuda por perjuicios causados en 1837 en un Campo en la Provincia de Corrientes",,"Conflictos armados
Deuda
Provincias argentinas",22/08/1853,1853,Francia,FRA,Francia,France,Europa,Europe
"Acuerdo postal (por notas reversales) entre Argentina y Uruguay",,"Servicios postales
Tasas",18/12/1854,1854,Uruguay,URY,Uruguay,Uruguay,América,America
"Tratado de paz, amistad, comercio y navegación entre la República de Chile y la Confederación Argentina",Extinguido,"Amistad
Buques
Comercio
Comunicaciones
Defensa
Libre circulación
Límites
Reciprocidad
Servicios postales
Transporte por agua",30/08/1855,1855,Chile,CHL,Chile,Chile,América,America
"Tratado de Amistad Comercio y Navegación entre la Confederacion Argentina y su Majestad el Rey de Cerdeña.",Extinguido,"Amistad
Comercio
Transporte por agua",21/09/1855,1855,Italia,ITA,Italia,Italy,Europa,Europe
"Tratado de Amistad, Comercio y Navegación entre la Confederación Argentina y el Emperador del Brasil.",Vigente,"Amistad
Comercio
Defensa
Libre circulación
Seguridad
Servicio militar
Soberanía
Transporte por agua
Tratamiento de Nación más favorecida",07/03/1856,1856,Brasil,BRA,Brasil,Brazil,América,America
"Protocolo adicional al Tratado de amistad, comercio y navegación entre la Confederación Argentina y la República del Paraguay",,"Amistad
Comercio
Conflictos armados
Libre circulación
Territorio
Transporte por agua",29/07/1856,1856,Paraguay,PRY,Paraguay,Paraguay,América,America
"Tratado de amistad, comercio y navegación entre la Repúbilca Argentina y la República del Paraguay",Extinguido,"Amistad
Comercio
Conflictos armados
Pacificación
Puertos
Reciprocidad
Servicios postales
Transporte por agua",29/07/1856,1856,Paraguay,PRY,Paraguay,Paraguay,América,America
"Convención sobre Inmigración entre la Confederación Argentina y el Rey de las Dos Sicilias","No está en vigor",Migraciones,13/01/1857,1857,Italia,ITA,Italia,Italy,Europa,Europe
"Convención Consular entre Su Majestad la Reina de las Españas, Doña Isabel Segunda, y el Presidente de la República Argentina","No está en vigor","Asuntos consulares",29/04/1857,1857,España,ESP,España,Spain,Europa,Europe
"Tratado de Paz y Amistad entre Su Majestad la Reina de las Españas, Doña Isabel Segunda, y el Presidente de la República Argentina",,"Amistad
Pacificación
Reconocimiento de Estados
Soberanía
Tratados",29/04/1857,1857,España,ESP,España,Spain,Europa,Europe
"Tratado de Amistad, Comercio y Navegación entre la Confederación Argentina y la Prusia y los otros Estados del Zollverein alemán",Extinguido,"Amistad
Comercio
Transporte por agua",19/09/1857,1857,"Alemania, República Federal de",DEU,Alemania,Germany,Europa,Europe
"Acta para abrir las Conferencias de los Plenipotenciarios Argentino - Brasileños para negociar una Convención sobre Navegación Fluvial",,"Relaciones Internacionales
Transporte por agua",02/11/1857,1857,Brasil,BRA,Brasil,Brazil,América,America
"Convención de Navegación Fluvial entre la Confederación Argentina y el Emperador del Brasil",Vigente,"Aduanas
Asuntos penales y ética
Comercio
Cooperación
Defensa
Jurisdicción
Libre circulación
Ríos Internacionales
Seguridad
Transporte por agua",20/11/1857,1857,Brasil,BRA,Brasil,Brazil,América,America
"Protocolo entre la Confederación Argentina y el Emperador del Brasil relativo a las divergencias suscitadas durante la negociación de la Convención Fluvial de la misma fecha",,"Amistad
Cooperación
Libre circulación
Transporte por agua",20/11/1857,1857,Brasil,BRA,Brasil,Brazil,América,America
"Protocolo entre la Confederación Argentina y el Emperador del Brasil aclaratorio del 20.11.1857 relativo a la interpretación del Reglamento Fluvial",,"Libre circulación
Ríos Internacionales
Transporte por agua",21/11/1857,1857,Brasil,BRA,Brasil,Brazil,América,America
"Protocolo entre la Confederación Argentina y el Emperador del Brasil, sobre un empréstito",,"Deuda
Finanzas
Pagos",27/11/1857,1857,Brasil,BRA,Brasil,Brazil,América,America
"Tratado de Extradición entre la Confederación Argentina y el Emperador del Brasil.",Extinguido,"Asistencia judicial
Asuntos penales y ética
Cooperación
Extradición
Ilícitos transnacionales",14/12/1857,1857,Brasil,BRA,Brasil,Brazil,América,America
"Tratado de Límites y Protocolo entre la Confederación Argentina y el Emperador del Brasil (relativo al Convenio de Límites sobre la línea divisoria ríos Pepirí- Guazú y San Antonio)","No está en vigor","Fronteras
Límites
Ríos Internacionales
Territorio",14/12/1857,1857,Brasil,BRA,Brasil,Brazil,América,America
"Primer Protocolo de Reclamos por Indemnizaciones en compensación a las requisiciones hechas y daños inferidos a Súbditos Franceses durante el sitio de Buenos Aires",,"Conflictos armados
Deuda",08/03/1858,1858,Francia,FRA,Francia,France,Europa,Europe
"Protocolos para el Pago de Deudas por Perjuicios a súbditos italianos",,,18/08/1858,1858,Italia,ITA,Italia,Italy,Europa,Europe
"Acuerdo entre la Confederación Argentina y su Majestad la Reina del Reino Unido de Gran Bretaña e Irlanda sobre el reconocimiento como deuda nacional de las sumas debidas a súbditos británicos por reclamaciones presentadas antes del 1-1-1860.",Extinguido,Pagos,21/08/1858,1858,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Convención del Gobierno Argentino con el de Francia sobre Indemnización a súbditos franceses",Extinguido,"Conflictos armados
Deuda
Pagos",21/08/1858,1858,Francia,FRA,Francia,France,Europa,Europe
"Convención sobre Indemnización a los súbditos sardos firmada por la Confederación Argentina con Su Majestad el Rey de Cerdeña",Extinguido,Pagos,21/08/1858,1858,Italia,ITA,Italia,Italy,Europa,Europe
"Tratado de amistad, comercio y navegación entre los Gobiernos de la Confederación Argentina y de Bolivia.","No está en vigor","Amistad
Comercio
Fronteras
Límites
Transporte por agua",07/12/1858,1858,"Bolivia, Estado Plurinacional de",BOL,Bolivia,Bolivia,América,America
"Convenio postal entre la Confederación Argentina y la República de Bolivia.","No está en vigor","Comunicaciones
Cooperación
Servicios postales",22/12/1858,1858,"Bolivia, Estado Plurinacional de",BOL,Bolivia,Bolivia,América,America
"Protocolo Adicional al Protocolo del 8 de Marzo de 1858 sobre Reclamos de Súbditos Franceses",,"Conflictos armados
Deuda",12/01/1859,1859,Francia,FRA,Francia,France,Europa,Europe
"Protocolo de auxilio del Paraguay al Gobierno de Paraná para la guerra contra Buenos Aires",,"Conflictos armados
Cooperación
Provincias argentinas",05/05/1859,1859,Paraguay,PRY,Paraguay,Paraguay,América,America
"Protocolo entre la República Argentina y la República del Paraguay relativo a la entrega recíproca de desertores del ejército y la marina",,"Asuntos penales y ética
Fuerzas Armadas
Servicio militar",13/05/1859,1859,Paraguay,PRY,Paraguay,Paraguay,América,America
"Tratado de Reconocimiento, Paz y Amistad firmado por la Confederación Argentina con S.M. la Reina de España","Vigente con Modificaciones","Amistad
Pacificación
Reconocimiento de Estados
Soberanía
Tratados",09/07/1859,1859,España,ESP,España,Spain,Europa,Europe
"Artículos adicionales a la Convención sobre Indemnizaciones a súbditos franceses, firmados con el Emperador de los Franceses",Extinguido,"Conflictos armados
Deuda
Pagos",18/08/1859,1859,Francia,FRA,Francia,France,Europa,Europe
"Convención adicional a la Convención sobre Indemnización a los súbditos sardos",Extinguido,Pagos,18/08/1859,1859,Italia,ITA,Italia,Italy,Europa,Europe
"Convención firmada por la Confederación Argentina con Gran Bretaña sobre amortizaciones y pagos.",Extinguido,Tratados,18/08/1859,1859,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Protocolo en el que se acuerda la formalización de un Tratado de Amistad, Comercio y Navegación entre la Confederación Argentina y el Reino de Bélgica",,"Amistad
Comercio
Transporte por agua",28/02/1860,1860,Bélgica,BEL,Bélgica,Belgium,Europa,Europe
"Tratado de Paz, Amistad, Comercio y Navegación entre la Confederación Argentina y Bélgica","No está en vigor","Amistad
Comercio
Transporte por agua",03/03/1860,1860,Bélgica,BEL,Bélgica,Belgium,Europa,Europe
"Proceso Verbal de Canje Modificatorio de la Convención entre la Confederación Argentina y Su Majestad el Emperador de los Franceses para el arreglo de Reclamaciones de Súbditos Franceses firmada en Paraná el 21 de Agosto de 1858",Extinguido,"Deuda
Pagos",27/03/1860,1860,Francia,FRA,Francia,France,Europa,Europe
"Protocolo entre el Gobierno Nacional y los Gobiernos de Francia, Inglaterra y Cerdeña para la liquidación de los reclamos de Súbditos Franceses en conformidad con la Convención del 21 de Agosto de 1858 y de los artículos adcionales del 18 de Agosto de 1859",,Deuda,14/06/1860,1860,Francia,FRA,Francia,France,Europa,Europe
"Segundo Protocolo de Reclamos Franceses (reclamos en expedientes 1 a 36)",,Deuda,14/06/1860,1860,Francia,FRA,Francia,France,Europa,Europe
"Convenio entre la Argentina y Bélgica por el que se prorroga el plazo estipulado para el canje de ratificaciones del Tratado de Amistad, Comercio y Navegación del 3.3.1860 hasta el 3.9.1862","No está en vigor","Amistad
Comercio
Tratados",08/10/1861,1861,Bélgica,BEL,Bélgica,Belgium,Europa,Europe
"Protocolo Nº 2 para el cálculo de los reclamos Franceses referidos a  los reclamos 37  a 44 en consecuencia de las Convenciones del 21  de Agosto de 1858 y los artículos adicionales del 18 de Agosto de 1859 entre el Gobierno Nacional y los Gobiernos de Francia, Inglaterra y Cerdeña",,Deuda,08/12/1861,1861,Francia,FRA,Francia,France,Europa,Europe
"Tercer Protocolo de los Reclamos Franceses (se refiere a los reclamos por expedientes 37 a 44)",,Deuda,08/12/1861,1861,Francia,FRA,Francia,France,Europa,Europe
"Cuarto protocolo sobre los reclamos de Súbditos Franceses (reclamos 45 a 53 y expedientes pendientes)",,Deuda,09/12/1861,1861,Francia,FRA,Francia,France,Europa,Europe
"Protocolo Nº 3 para el cálculo de los Reclamos Franceses (reclamos 45 a 53) en consecuencia de las Convenciones del 21  de Agosto de 1858 y los artículos adicionales del 18  de Agosto de 1859 entre Francia, Inglaterra y Cerdeña",,Deuda,09/12/1861,1861,Francia,FRA,Francia,France,Europa,Europe
"Arreglo Argentino-Francés para el pago de la Deuda por la detención de la Goleta ""La Paz Correntina""",,"Conflictos armados",19/02/1862,1862,Francia,FRA,Francia,France,Europa,Europe
"Arreglos Hechos para el Pago de la Deuda por Perjuicios a Subditos Franceses, entre el Comisario de la Provincia de Buenos Aires y el Consul de Francia",,"Deuda
Pagos
Provincias argentinas",27/03/1862,1862,Francia,FRA,Francia,France,Europa,Europe
"Arreglos hechos para el pago de la deuda por perjuicios a súbditos británicos, entre el Comisionado de la Provincia de Buenos Aires y el Comisionado Británico",,"Pagos
Provincias argentinas
Tratados",09/05/1862,1862,"Reino Unido de G. Bretaña e Irlanda del N",GBR,"Reino Unido","United Kingdom",Europa,Europe
"Arreglo Argentino-Francés para el pago de la Deuda por perjuicios causados por el Sitio de 1853",,"Conflictos armados
Deuda
Pagos",27/06/1863,1863,Francia,FRA,Francia,France,Europa,Europe
"Protocolo reanudando las relaciones diplomáticas entre Argentina y Uruguay",,"Amistad
Cooperación
Relaciones diplomáticas",29/06/1863,1863,Uruguay,URY,Uruguay,Uruguay,América,America
"Tratado de Reconocimiento, Paz y Amistad entre Su Majestad la Reina de las Españas y S.E. el Presidente de la República Argentina",Vigente,"Comercio
Nacionalidad
Pacificación
Reconocimiento de Estados
Soberanía
Tratamiento de Nación más favorecida",21/09/1863,1863,España,ESP,España,Spain,Europa,Europe
