Title,Status,Tags,"Sign date","Sign year","Counterpart (original)","Counterpart ISO","Counterpart SPA","Counterpart ENG","Region SPA","Region ENG"
"Tratado relativo al ejercicio de profesiones liberales entre los Gobiernos de la República Argentina y la República de Chile",,"Títulos y diplomas
Trabajo",21/07/1902,1902,Chile,CHL,Chile,Chile,América,America
"Acuerdo de prórroga para el canje de ratificaciones de la convención sobre limitación de armamentos navales entre la República Argentina y la República de Chile",,"Armamento
Transporte por agua",24/07/1902,1902,Chile,CHL,Chile,Chile,América,America
"Tratado de Amistad y Comercio entre la República Argentina y el Reino de Persia",Extinguido,"Amistad
Comercio",27/07/1902,1902,"Irán, República Islámica del",IRN,Irán,Iran,"África y Medio Oriente","Africa and Middle East"
"Convención Argentino-Española suprimiendo la legalización de las firmas de los funcionarios intervinientes en el cumplimiento de las comisiones rogatorias entre la República Argentina y España",Vigente,"Asistencia judicial",17/09/1902,1902,España,ESP,España,Spain,Europa,Europe
"Laudo Arbitral de su Majestad Británica sobre la Cuestión Limítrofe entre la República Argentina y Chile",Vigente,"Arbitraje
Límites
Solución de controversias
Territorio",20/11/1902,1902,Chile,CHL,Chile,Chile,América,America
"Acuerdo para facilitar la ejecución de la Convención ferroviaria entre la República Argentina y la República de Bolivia",Extinguido,"Cooperación
Infraestructura
Transporte",11/12/1902,1902,"Bolivia, Estado Plurinacional de",BOL,Bolivia,Bolivia,América,America
"Convención por la que se suprime la legalización de las cartas rogatorias entre la República Argentina y la República de Chile","No está en vigor","Asistencia judicial
Asuntos consulares
Legalizaciones",09/01/1903,1903,Chile,CHL,Chile,Chile,América,America
"Convenio para fijar los hitos en la Puna de Atacama entre los Gobiernos de la República Argentina y Chile",,"Comisión Mixta
Límites
Territorio",09/01/1903,1903,Chile,CHL,Chile,Chile,América,America
"Convenio sobre equivalencia de  las escuadras argentina y chilena",Vigente,"Arbitraje
Armamento
Buques
Desarme
Transporte por agua",09/01/1903,1903,Chile,CHL,Chile,Chile,América,America
"Convención Telegráfica entre la República Argentina y Chile",Vigente,"Comunicaciones
Servicios postales",06/02/1903,1903,Chile,CHL,Chile,Chile,América,America
"Convenio entre la República Argentina y la República del Paraguay relativo al establecimiento de un cable fluvial entre Paso de la Patria (República Argentina) y Paso de la Patria (República del Paraguay)",,"Comunicaciones
Integración física
Servicios
Tecnología
Telecomunicaciones",30/06/1903,1903,Paraguay,PRY,Paraguay,Paraguay,América,America
"Convenio entre la República Argentina y la República del Paraguay relativo al establecimiento de una cable fluvial entre Posadas y Villa Encarnación",,"Infraestructura
Integración física
Servicios
Tecnología
Telecomunicaciones",30/06/1903,1903,Paraguay,PRY,Paraguay,Paraguay,América,America
"Convención sobre supresión de las legalizaciones en los exhortos y cartas rogatorias entre la República Argentina y la República Oriental del Uruguay",Vigente,"Asistencia judicial
Asuntos consulares
Asuntos penales y ética
Derecho procesal
Exenciones
Legalizaciones",07/09/1903,1903,Uruguay,URY,Uruguay,Uruguay,América,America
"Convención que asegure recíprocamente el Tratamiento de la Nación Más Favorecida entre la República Argentina y el Reino de Bélgica",,Comercio,08/09/1903,1903,Bélgica,BEL,Bélgica,Belgium,Europa,Europe
"Tratado de Arbitraje entre la República Argentina y España",,Arbitraje,17/09/1903,1903,España,ESP,España,Spain,Europa,Europe
"Convenio para el transporte de la correspondencia diplomática entre la República Argentina y la República del Paraguay",Vigente,"Agentes diplomáticos
Exenciones
Servicios postales
Transporte
Valija diplomática",03/10/1903,1903,Paraguay,PRY,Paraguay,Paraguay,América,America
"Convenio sobre comunicación telegráfica entre la República Argentina y la Repúbica del Paraguay",,"Comunicaciones
Infraestructura
Servicios
Tecnología
Telecomunicaciones",03/10/1903,1903,Paraguay,PRY,Paraguay,Paraguay,América,America
"Acta para la demarcación de la línea divisoria entre los paralelos de 23 y 26 52 45 de latitud austral (Puna de Atacama) entre la República Argentina y Chile",,,05/11/1903,1903,Chile,CHL,Chile,Chile,América,America
"Convenio (Acta) entre la República Argentina y Chile sobre la creación de una Comisión Mixta de demarcación y sobre el nombramiento de Su Majestad Británica para resolver en caso de desacuerdo la parte comprendida entre los paralelos de 23° y 26° 52' 45 "" de latitud sur",,,05/11/1903,1903,Chile,CHL,Chile,Chile,América,America
"Protocolo adicional a la Convención Telegráfica entre la República Argentina y Chile",Vigente,"Comunicaciones
Servicios postales",06/11/1903,1903,Chile,CHL,Chile,Chile,América,America
"Convenio Modificando el Trazo de la Línea de Frontera al Llegar al Pueblo de Yacuiba a Fin de que Este Pueblo y Zona Adyacente Queden en Territorio Boliviano entre la República Argentina y la República de Bolivia",,"Cooperación
Fronteras
Límites
Seguridad
Territorio",28/01/1904,1904,"Bolivia, Estado Plurinacional de",BOL,Bolivia,Bolivia,América,America
"Convenio entre la República Argentina y Chile para Fijar la Posición Geográfica de los Hitos Colocados por la Comisión Arbitral Nombrada por el Gobierno Británico",,"Comisión Mixta
Fronteras
Límites
Territorio",02/05/1904,1904,Chile,CHL,Chile,Chile,América,America
"Convenio entre la República Argentina y Chile para que las comisiones de límites señalen con claridad y precisión la línea de frontera",,"Comisión Mixta
Fronteras
Límites
Territorio",02/05/1904,1904,Chile,CHL,Chile,Chile,América,America
"Convenio entre la República Argentina y Chile referente a las instrucciones a que deberá sujetarse la Comisión Mixta para la demarcación de la Puna de Atacama",,"Comisión Mixta
Fronteras
Límites
Territorio",02/05/1904,1904,Chile,CHL,Chile,Chile,América,America
"Convenio para facilitar la demarcación material del límite al norte del paralelo 23 de latitud sur entre la República Argentina y Chile",Vigente,"Fronteras
Límites
Territorio",02/05/1904,1904,Chile,CHL,Chile,Chile,América,America
"Protocolo Armonizando la Convención sobre Extradición del 16.6.1886 con el Código Penal Italiano entre la República Argentina y el Rey de Italia",Extinguido,"Asuntos penales y ética
Extradición",09/06/1904,1904,Italia,ITA,Italia,Italy,Europa,Europe
"Protocolo adicional a la convención telegráfica del 6 de febrero de 1903 entre la República Argentina y Chile, relativo a la aclaración de ciertos términos empleados en la convención",,"Comunicaciones
Pagos
Telecomunicaciones",06/08/1904,1904,Chile,CHL,Chile,Chile,América,America
