"Model","ME","MAE","MPE","MAPE","RMSE","RMSPE","CE"
"Power",0.0017,0.0465,11.022,18.9209,0.0785,27.7641,0.9531
"Exponential",0.0636,0.1555,185.5067,194.0441,0.1811,334.5745,0.7504
"Logarithmic",0,0.1425,-147.7391,222.9553,0.1775,613.8078,0.7605
"Weibull",7e-04,0.0459,7.6197,16.4336,0.0784,23.2757,0.9532
"Sigmoid",5e-04,0.0458,6.8062,15.8051,0.0784,22.0905,0.9532
