"","ME","MAE","MPE","MAPE","RMSE","RMSPE","CE"
"Best_Nonlinear_Model_Combined_Power",1e-04,0.0286,2.0896,7.9415,0.0524,10.1883,0.9791
"Multiple_Linear_Regression",0,0.0286,0.399,8.2639,0.0523,11.2614,0.9792
